2021-02-23 15:19:39.6415|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.DropColumnsBlock","id":"2"}|
2021-02-23 15:19:39.6415|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetColumnTypesBlock","id":"3"}|
2021-02-23 15:19:39.6415|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.KeepColumnsBlock","id":"4"}|
2021-02-23 15:19:39.6415|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetRsLexContextBlock","id":"5"}|
2021-02-23 15:25:16.2770|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.GetFilesBlock","id":"0"}|
2021-02-23 15:25:16.2770|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.ParseDelimitedBlock","id":"1"}|
2021-02-23 15:25:16.2770|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.DropColumnsBlock","id":"2"}|
2021-02-23 15:25:16.2770|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.SetColumnTypesBlock","id":"3"}|
2021-02-23 15:25:16.2770|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.KeepColumnsBlock","id":"4"}|
2021-02-23 15:25:16.2770|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: StepInfo|metrics: {}, properties: {"blockType":"Microsoft.DPrep.WriteFeatherToSocketBlock","id":"5"}|
2021-02-23 15:25:17.5949|DEBUG|Telemetry|f1c15331-7e42-465d-8b4b-803d1d8312cc|event: WritePartitionToSocket|metrics: {"size":2576.0}, properties: {}|
